iter	RMSE
0	45.71221546
1	45.70297614
2	45.6976042
3	45.68997221
4	45.68269559
5	45.67647237
6	45.67218635
7	45.66477973
8	45.66000353
9	45.65110083
10	45.64345445
11	45.63797468
12	45.63361394
13	45.62469063
14	45.61388811
15	45.60786932
16	45.60301458
17	45.59492009
18	45.59178503
19	45.58715336
20	45.57498775
21	45.56723743
22	45.55857374
23	45.55408985
24	45.54949778
25	45.54385959
26	45.53176722
27	45.52808455
28	45.513648
29	45.50865102
30	45.50295652
31	45.49432511
32	45.48968253
33	45.48695449
34	45.47173906
35	45.46716788
36	45.45864489
37	45.45399748
38	45.44567404
39	45.44112117
40	45.43477388
41	45.42662851
42	45.41795463
43	45.40979301
44	45.40400045
45	45.39662851
46	45.38835488
47	45.3829476
48	45.37754504
49	45.37303089
50	45.36706172
51	45.36083827
52	45.3526494
53	45.34830983
54	45.34360945
55	45.33532184
56	45.32724547
57	45.31904824
58	45.3146869
59	45.30738163
60	45.30088545
61	45.29475779
62	45.28983837
63	45.28230397
64	45.27880127
65	45.27329599
66	45.26703658
67	45.25134512
68	45.24416315
69	45.2360103
70	45.23333625
71	45.22906055
72	45.2243046
73	45.22036629
74	45.21420259
75	45.20719666
76	45.20389309
77	45.19570819
78	45.18769083
79	45.18186379
80	45.17643459
81	45.17327358
82	45.16838582
83	45.16073782
84	45.15324058
85	45.1474936
86	45.14141446
87	45.13486012
88	45.13043957
89	45.12572536
90	45.11829498
91	45.11434548
92	45.11116585
93	45.10657896
94	45.10136238
95	45.09647019
96	45.09275567
97	45.08915823
98	45.08164932
99	45.07640886
