iter	Passed	Remaining
0	5	515
1	9	460
2	14	461
3	18	446
4	23	445
5	27	434
6	32	425
7	36	419
8	40	410
9	45	405
10	49	397
11	53	393
12	57	385
13	61	380
14	66	375
15	70	370
16	74	364
17	78	359
18	83	356
19	87	350
20	91	345
21	96	341
22	100	335
23	104	330
24	108	325
25	112	320
26	117	316
27	121	312
28	125	307
29	130	303
30	134	298
31	138	293
32	142	290
33	147	285
34	151	281
35	155	276
36	159	272
37	164	268
38	168	263
39	172	259
40	177	254
41	181	250
42	185	246
43	190	242
44	195	238
45	199	233
46	203	229
47	207	224
48	212	220
49	216	216
50	220	212
51	225	208
52	230	204
53	234	199
54	239	195
55	243	191
56	247	186
57	252	182
58	256	178
59	260	173
60	264	169
61	269	165
62	273	160
63	278	156
64	282	152
65	286	147
66	290	143
67	294	138
68	298	134
69	303	130
70	308	126
71	312	121
72	317	117
73	321	113
74	326	108
75	330	104
76	335	100
77	339	95
78	344	91
79	348	87
80	353	82
81	357	78
82	361	73
83	365	69
84	370	65
85	374	60
86	379	56
87	383	52
88	388	48
89	392	43
90	398	39
91	403	35
92	408	30
93	413	26
94	419	22
95	423	17
96	428	13
97	432	8
98	437	4
99	441	0
